,French Polynesia,Australia,Egypt,Somalia,Algeria,United States,Brazil,Germany,Suriname,Kiribati,Denmark,South Africa,United Arab Emirates,Venezuela,Indonesia,Russian Federation,China,Western Samoa,Philippines,Yemen,Guatemala,Nigeria,Spain,Iran,Ivory Coast (Cote d'Ivoire),Ethiopia,Papua New Guinea,Saudi Arabia,United Kingdom,Mexico,Ghana,Colombia,Switzerland,Sri Lanka,Panama,Turkey,Namibia,Jordan,Sudan,South Sudan,Chad,Mauritania,Argentina,Norway,Iceland,Uzbekistan,Solomon Islands,Morocco,France,Sweden,Japan,Greenland,Greece,India,Paraguay,Guyana,Italy,Honduras,Oman,Madagascar,Marshall Islands,Central African Republic,Djibouti,Cook Islands,Comoros,Niger,Gabon,Libya,New Zealand,Cyprus,Canada,Kazakhstan,Myanmar,Peru,Syria,Andorra,Mozambique,Netherlands,Kenya,Chile,Congo,Angola,Belgium,Austria,Antigua and Barbuda,Malaysia,Laos,Bolivia,Fiji,Tanzania,Burkina Faso,Romania,Eritrea,Turkmenistan,Bahamas,Saint Helena,Ecuador,Pakistan,Uruguay,Aruba,East Timor,Vanuatu,Cuba,Mongolia,Portugal,United States Minor Outlying Islands,Anguilla,"Macau (SAR), China",Dominican Republic,Bahrain,Costa Rica,Azerbaijan,Democratic Republic of the Congo,Botswana,Cambodia,Guadeloupe,Zambia,Belize,Bermuda,Seychelles,Nepal,Nicaragua,Serbia,Israel,Lebanon,Zimbabwe,Thailand,Cameroon,Barbados,Iraq,Afghanistan,Gambia,Burundi,Guinea,Mali,Ireland,Malawi,Vietnam,New Caledonia,Bosnia and Herzegovina,Bulgaria,"Bonaire, Saint Eustatius & Saba",Guinea Bissau,Belarus,Saint Vincent and Grenadines,Czech Republic,Equatorial Guinea,Sierra Leone,Rwanda,Slovakia,Hungary,Georgia,Bhutan,Cape Verde,Croatia,Brunei Darussalam,Senegal,Poland,Liberia,Bangladesh,Moldova,Haiti,French Guiana,Cocos (Keeling) Islands,Estonia,South Korea,Ukraine,Chinese Taipei,Benin,Grenada and South Grenadines,Curacao,Cayman Islands,Dominica,Maldives,Unknown Country,Latvia,Qatar,Tunisia,North Korea,Albania,Tajikistan,Mayotte,Uganda,British Virgin Islands,Finland,Tonga,Western Sahara,Armenia,Martinique,Kyrgyzstan,Saint Pierre and Miquelon,Tuvalu,Wallis and Futuna Islands,Turks and Caicos Islands,Gibraltar,Palestinian Territory,Malta,"Hong Kong (SAR), China",Lithuania,Montenegro,El Salvador,Nauru,Niue,Jamaica,Micronesia,Kuwait,Lesotho,Togo,Slovenia,Luxembourg,Monaco,Singapore,Montserrat,Falkland Islands,Mauritius,Swaziland,Saint Kitts and Nevis,Norfolk Island,Macedonia,Sao Tome and Principe,Trinidad and Tobago,Liechtenstein,Palau,Reunion,Saint Barthelemy,Saint Martin,Saint Lucia,Sint Maarten,Antarctica,Christmas Island
Uzbekistan,0,23,789,2,74,1696,0,2461,2,0,29,10,6487,0,49,104391,8136,0,2,0,0,5,232,190,0,0,0,4210,611,57,13,0,157,0,0,19232,0,22,27,0,0,0,0,0,0,45412,0,6,516,311,839,0,44,2054,0,0,1528,0,28,0,0,0,0,0,0,0,0,71,8,57,50,7075,10,0,4,0,3,102,0,4,0,0,28,480,0,1718,6,0,0,4,0,135,0,0,4,0,0,227,0,0,0,0,65,5,84,0,0,0,55,5,0,1298,0,0,6,0,2,0,0,0,0,0,14,1284,29,0,1863,3,0,220,714,0,0,0,4,0,0,46,0,0,109,0,0,1256,0,278,0,0,0,37,17,895,0,0,0,0,0,282,0,19,11,0,0,0,6,8454,1041,36,0,0,0,0,0,0,0,1012,137,39,0,0,1125,0,0,0,59,0,0,11,0,1159,0,0,0,0,0,0,5,84,70,81,0,0,0,0,0,73,0,0,0,0,0,82,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0
Solomon Islands,0,3739,0,0,0,40,0,0,0,347,0,0,0,0,1,0,0,8,65,0,0,0,0,0,0,0,1750,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,10728,0,0,0,79,0,0,4,0,0,0,0,0,0,7,0,0,0,0,0,0,0,367,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1213,0,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,94,0,0,0,771,0,0,3,0,0,0,0,0,0,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morocco,12,1087,4824,18,11934,12496,2593,46218,0,0,4241,739,10031,0,494,2846,6019,0,649,0,0,203,78172,16,3157,142,0,15997,51037,351,395,42,17736,68,31,16840,4,906,86,5,405,3185,77,1177,12,15,0,57065,266086,3173,4203,0,2804,812,0,0,60240,4,2197,15,0,101,31,0,0,696,873,38,72,251,9097,14,49,16,0,0,9,28233,102,78,470,100,46226,5533,0,945,0,4,0,54,709,712,0,0,0,0,26,197,10,0,0,0,18,0,9775,0,0,0,8,1220,22,68,494,67,15,0,3,0,0,5,11,1,198,5056,629,2,886,1630,0,88,0,202,7,905,1282,2236,3,65,0,18,227,0,326,15,0,2611,347,161,14,0,353,55,0,1068,68,0,3946,3977,113,92,19,1,0,0,57,1284,504,733,272,0,0,3,0,27,0,135,2994,11411,0,129,24,4,26,0,1846,0,15728,27,3,5,0,0,0,3,165,0,273,2144,131,33,4,0,0,64,0,4761,0,264,20,1245,0,339,0,0,34,0,0,0,30,0,0,0,0,35,0,0,0,0,0,0
France,3253,22421,13907,38,146259,231299,43002,163611,9,0,36671,14236,30615,1013,10190,47311,47571,0,8852,0,3536,3121,348548,1684,14307,2467,36,11506,367829,31727,1798,11508,111739,7910,2694,56309,767,4358,242,43,1403,2723,9395,20316,6066,587,0,242881,1580509,26706,42664,0,21613,26176,438,20,316151,110,5391,7870,0,1079,979,0,1127,2650,4457,107,5952,2611,53867,1513,5545,4813,0,0,239,52595,3728,6570,4093,1787,50462,38378,151,6326,2436,269,40,6844,2654,34067,4,464,1386,0,2021,2812,972,73,0,10,17190,232,189893,0,0,79,21151,1589,9555,1019,3195,100,5151,73134,171,155,8,3269,948,589,11896,44129,15586,99,70061,9994,463,1007,75,401,133,4384,9672,52354,24,19803,2597,709,12430,388,185,1844,0,31517,473,1356,914,1525,26452,4388,0,8915,3383,19,28119,42153,109,1036,3319,887,15893,0,2704,23624,11491,8408,3078,11,439,47,86,5695,0,2438,3918,100912,0,1698,187,4172,616,12,21980,0,1864,1966,64943,497,177,0,44,42,5,0,11513,14479,7987,1164,375,0,0,1858,0,4960,0,2397,1880,9648,16633,11451,0,0,23875,0,1,0,2409,207,40,0,18,58538,760,293,150,6039,0,0
Sweden,27,4105,3745,1092,354,32933,1880,74564,0,0,53696,3124,6086,38,1942,8427,6976,0,3338,0,71,615,83439,3706,154,1532,3,347,78154,4237,281,1219,21253,2997,172,10154,58,694,530,6,2,7,927,62892,3337,222,0,2534,28684,510496,2829,5,6507,5887,4,3,24291,28,51,18,0,7,168,37,0,3,0,0,1139,934,3085,220,138,1111,0,0,88,22959,2569,3426,7,12,12806,15225,5,1163,37,191,9,1631,11,7118,873,12,63,0,330,1373,137,61,0,0,1454,172,6209,0,0,0,1500,104,871,170,71,31,207,31,96,12,1,191,100,249,10290,2057,1373,56,38849,84,191,3738,130,1187,108,40,28,5948,8,4543,0,6359,1537,13,5,679,0,9550,5,40,149,123,14038,331,0,4024,1348,0,182,58537,19,1758,213,3,0,0,6910,751,5037,808,20,28,115,34,0,707,0,7000,631,974,0,468,3,0,831,41,49700,0,0,316,16,58,0,0,0,7,0,0,2223,1642,5270,1571,245,0,0,217,0,164,3,46,369,1141,0,2484,0,0,1739,0,1,0,8029,0,120,0,0,7,0,0,0,117,0,0
Japan,1286,113776,6685,6,144,415026,6059,36795,0,0,3577,2987,9864,9,78404,16337,939675,33,142319,0,163,261,17746,351,261,313,228,977,30712,11178,242,686,7016,5105,189,6773,6,532,85,52,0,42,1919,2147,1046,587,65,3552,37609,4271,6780970,0,1614,27429,132,13,29979,79,219,80,30,0,121,8,0,10,27,0,15658,447,25856,1483,8957,2194,0,0,44,9518,1173,1505,0,27,4017,4916,0,70343,2451,38,1893,397,63,891,9,2,48,0,252,1088,83,0,0,109,1270,2489,2632,0,0,19088,117,327,317,81,33,20,16406,0,132,12,8,25,6495,8,352,2606,143,57,272849,46,21,129,44,6,7,38,44,1786,63,120902,7220,184,392,0,0,55,3,2686,0,31,168,66,1583,112,0,0,686,966,245,3416,26,1784,26,17,12,0,274,527877,427,517338,35,3,0,5,0,2429,0,95,5317,1397,1,13,2,0,129,0,6927,92,0,76,0,48,0,0,46,0,10,0,1528,299557,209,29,73,0,0,92,100,344,3,5,91,323,0,109190,0,0,117,5,3,0,30,0,190,0,2454,0,0,0,5,0,0,0
Greenland,0,0,0,0,0,0,0,0,0,0,4604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,548,0,0,0,0,0,0,30212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greece,0,3801,6190,4,206,16197,1131,82641,0,0,6505,1046,5677,76,854,10847,7066,0,1854,0,31,327,24010,128,62,206,10,1509,62937,282,238,152,18920,345,472,18535,7,3915,32,7,0,10,243,2744,167,36,0,2855,23090,8107,1553,0,471765,2573,6,0,67277,8,1339,43,0,15,0,0,9,0,7,0,184,57473,2588,282,49,108,0,0,27,21043,331,253,22,4,15325,20165,2,731,0,0,2,237,35,12955,4,8,0,0,31,1987,24,50,0,0,704,2,3833,0,0,57,83,676,37,67,40,23,23,0,90,0,0,39,29,8,3243,19455,3704,0,2447,34,25,355,130,34,11,2,2,2563,19,383,0,128,9861,0,0,123,0,4134,7,3,39,2628,11535,3869,0,9,827,0,77,10284,0,922,306,11,0,0,288,1462,8426,352,6,0,82,0,0,217,0,766,1648,239,0,4023,3,0,26,3,2121,0,0,730,0,159,0,0,0,6,26,0,3559,1483,496,193,0,0,0,6,0,290,0,118,382,1744,0,3014,0,0,194,0,0,0,594,0,6,0,0,0,0,0,0,171,0,0
India,10,94741,8975,424,471,321900,3005,50106,61,0,7099,16641,523892,20,32771,20770,49665,6,16232,0,55,7767,13718,8115,884,3831,93,242851,188972,2220,2663,445,10080,79279,691,17940,132,3804,2557,332,52,115,784,3439,92,1485,5,625,23910,9205,27962,0,2157,10632908,14,32,25536,0,95207,436,4,18,105,0,35,133,633,23,17077,1824,93323,2104,8700,226,108,0,1259,12390,15233,370,171,350,6157,6512,34,94539,420,17,635,5911,162,1282,39,1135,116,0,74,227,71,89,52,0,140,260,2194,0,0,930,361,37757,338,2535,478,3129,3048,1,4514,29,39,1065,38756,8,322,9670,1997,652,182453,266,56,9145,16179,87,44,133,289,8769,1696,21197,0,191,459,12,14,252,0,3382,40,157,440,245,1278,3293,8108,2,366,680,534,3556,118,52499,29,5,0,0,269,9970,4022,6524,520,5,93,97,3,30874,0,563,94764,680,0,16,392,31,6187,0,2720,0,3,2070,0,177,0,0,0,111,60,0,870,32211,409,14,24,0,0,206,0,93422,37,257,169,558,0,147370,0,0,11789,18,46,0,115,0,102,0,0,907,0,0,24,118,0,0
Paraguay,0,93,9,0,0,6048,9451,1805,0,0,10,13,42,28,0,9,20,0,0,0,65,0,6097,0,0,0,0,13,339,2834,0,2602,343,0,734,90,2,0,0,0,0,0,10738,75,0,0,0,0,395,30,100,0,8,36,1881,0,650,0,0,0,0,0,0,0,0,0,0,0,8,0,619,0,0,2312,0,0,5,115,0,4102,0,0,173,110,0,7,0,2335,0,9,0,8,0,0,187,0,572,0,3318,413,0,0,222,0,95,0,0,0,1063,3,124,0,0,0,0,0,0,0,0,0,0,0,0,146,7,0,33,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,16,0,0,0,0,24,0,0,0,0,0,0,6,0,2,0,0,0,0,9,262,3,73,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,131,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,85,0,0
Guyana,0,0,0,0,0,16886,131,4,1667,0,0,6,3,60,0,9,8,0,73,0,15,3,15,0,0,8,0,0,1400,104,0,63,4,0,1296,0,0,0,0,0,0,0,12,8,0,5,0,0,0,3,9,0,9,41,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3046,0,0,101,0,0,0,3,0,22,0,0,0,0,362,0,0,0,0,0,0,10,0,0,86,0,20,2,10,38,0,0,540,0,2,0,0,0,793,0,22,0,0,0,0,3,0,58,0,0,0,0,0,0,0,0,3,0,1903,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,12,0,0,7,0,0,0,330,0,0,0,0,9,0,0,123,197,48,101,0,0,22,0,0,0,0,0,0,0,671,4,0,0,0,15,0,0,0,0,38,0,0,0,0,9,0,0,0,0,501,0,0,0,0,0,0,0,4,0,0,0,0,50,0,0,0,3774,0,0,0,0,0,311,227,0,0
Italy,22,20896,48102,34,7195,149179,41539,337739,70,0,34822,6973,37858,2326,5093,110227,59732,0,12459,0,800,5143,447532,1599,1687,2553,10,6220,440036,14844,3330,6309,57972,9314,1375,41443,340,10001,439,54,84,200,11864,14978,1017,1038,2,54680,327121,24036,29629,0,69757,24809,489,12,1925957,279,5991,913,0,85,209,0,28,301,172,7,1879,3397,11433,2383,1865,9630,0,0,450,107660,15494,4335,1040,762,108845,51898,143,4115,206,495,16,11473,2215,128144,493,324,201,0,2510,8853,1093,421,0,0,16958,237,70586,0,0,4,13622,1630,2524,1638,403,73,599,3347,161,31,4,1052,788,271,9920,41925,5518,135,29864,1049,453,1597,203,772,166,637,999,45847,68,4155,22,1432,26080,21,205,3659,8,47277,80,95,316,7631,59572,11285,0,3410,2839,14,13872,101067,44,6085,18795,33,72,0,3421,26826,28957,4799,769,29,60,54,6,21443,0,5663,6022,18238,0,76195,1304,15,851,29,15182,0,188,1845,292,1114,0,0,0,49,0,0,43909,9816,14438,4714,325,0,0,1614,0,4259,0,411,213,15349,0,9395,0,0,4486,7,17,0,5706,22,56,0,0,99,15,0,42,405,0,0
Honduras,0,27,0,0,0,49464.99908,253,465.99996,2,0,21,10,36,16,0,17,18,0,8.00001,0,5082.99982,7,5782.00023,0,0,3,0,0,189.99998,2638.00044,1,1562.99977,115.00002,0,3027.99991,4,0,6,0,0,0,0,136.00001,4,0,0,0,7,338.99985,84.00001,68,0,14.00001,2,33,5,455.99997,26692.9999,0,0,0,0,0,0,0,0,0,0,0,0,6713.00024,0,0,326.99997,0,0,0,85,0,146.00006,0,0,41,182,0,0,0,81.00004,0,0,0,0,0,0,53,0,450.00012,3,21.99999,27,0,0,416,0,16,0,0,0,819.99996,0,5245.99954,0,0,0,0,0,0,498.00001,0,0,0,1493.99993,0,16,0,4,0,0,2,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,285,0,0,0,26,0,13,0,0,81,614,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,5,12,0,2814.99969,0,0,385,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,127,0,0,0,0,0,0,20,0,0
Oman,0,813,9093,132,213,2108,55,4531,0,0,252,333,48469,11,3142,1054,1896,0,3108,0,0,731,880,10826,32,329,0,24820,7494,17,60,22,2274,3797,4,7218,21,2877,3237,10,36,7,8,118,26,71,0,2084,6516,92,173,0,1025,95900,0,0,7322,0,58440,5,0,0,25,0,21,4,2,0,168,107,707,80,36,5,10,0,21,1780,472,8,2,4,376,509,0,3089,4,2,0,2941,54,159,22,8,0,0,3,21794,0,0,0,0,59,0,135,0,0,0,2,7134,3,845,10,0,4,0,7,0,0,16,2443,0,47,4,1412,15,10282,21,0,641,386,8,135,6,7,290,21,362,0,196,23,0,0,17,0,490,0,45,281,2,299,434,10,0,78,24,30,1721,4,21642,0,0,0,0,28,148,226,37,3,0,0,0,0,479,0,36,19369,1350,0,46,41,0,1038,0,35,0,0,174,0,152,0,0,0,0,0,0,23,157,65,3,2,0,0,2,0,4107,0,4,24,59,0,442,0,0,0,0,0,0,4,0,8,0,0,0,0,0,2,2,0,0
Madagascar,0,22,74,0,0,330,16,489,0,0,83,1088,152,0,3,68,1099,0,24,0,0,4,160,0,13,547,0,26,109,0,6,0,415,50,0,46,0,6,0,0,0,0,2,66,0,0,0,3,10106,25,54,0,20,454,0,0,1207,0,8,34072,0,9,7,0,1736,0,0,0,5,2,209,0,0,0,0,0,26,46,335,0,29,0,79,14,0,14,0,0,0,38,0,6,0,0,0,0,0,191,0,0,0,0,0,0,6,0,0,0,0,2,0,0,29,16,0,0,21,0,0,45,11,0,0,24,33,18,252,12,0,0,0,0,0,0,5,24,15,11,0,0,19,0,0,0,0,21,0,0,52,0,71,0,0,0,5,0,33,86,0,2,0,0,0,0,11,111,15,16,16,0,0,0,0,0,0,0,61,12,0,1,0,2086,26,0,10,0,0,0,0,8,0,0,0,0,0,0,3,157,0,0,0,0,0,12,0,73,0,0,13,32,0,67,0,0,4468,0,0,0,0,0,0,0,0,6775,0,0,0,4,0,0
Marshall Islands,0,15,0,0,0,1486,0,0,0,598,0,0,0,0,0,0,14,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,35,0,0,0,0,0,0,0,0,0,4703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,69,0,0,1615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0
Central African Republic,0,0,27,0,0,152,0,13,0,0,2,16,18,0,0,23,85,0,1,0,0,6,73,0,50,6,0,0,7,0,10,0,36,0,0,0,0,1,0,0,27,0,0,0,0,0,0,508,849,0,0,0,3,12,0,0,54,0,0,0,0,0,0,0,0,24,9,0,0,1,7,0,0,0,0,0,0,72,79,0,48,0,5,4,0,0,0,0,0,3,5,42,0,0,0,0,0,8,0,0,0,0,0,0,3,0,0,0,0,0,0,0,11,0,0,0,4,0,0,0,4,0,0,17,24,0,9,3084,0,3,0,0,1,0,30,0,0,1,0,0,0,0,0,0,0,3,6,5,0,0,1,0,0,0,0,0,21,46,0,4,0,0,0,0,0,0,0,0,83,0,0,0,0,0,0,0,4,0,0,0,0,0,880,0,0,0,48,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,17,82,1788,0,450,0,769,0,0,4,40,1386,0,8,9,541,0,23,1158,0,0,62,0,0,4438,0,21,300,3,0,0,46,49,0,364,0,31,37,14,0,0,0,21,0,0,0,9,841,347,215,0,4,178,0,0,272,0,15,0,0,0,0,0,0,0,0,0,3,0,110,0,2,0,0,0,0,29,451,0,0,0,68,21,0,0,0,0,0,6,0,6,3,0,0,0,0,40,0,0,0,0,0,0,3,0,0,0,0,8,0,0,5,13,12,0,1,0,0,0,8,0,12,0,24,0,13,0,0,0,0,0,6,0,0,3,0,0,0,19,28,0,0,10,0,6,0,0,9,0,0,0,0,0,0,0,8,4,0,2,0,0,0,0,0,10,29,7,0,0,0,0,0,0,0,0,585,0,0,0,0,0,30,0,10,0,0,0,0,0,0,0,0,0,0,0,0,110,0,0,0,0,0,0,0,36,0,0,0,0,0,15,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
Cook Islands,543,3478,0,0,0,499,0,53,0,0,14,3,0,0,17,0,0,5,0,0,0,0,0,0,0,0,0,0,69,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,6296,0,0,0,0,9996,0,621,0,0,0,0,0,0,36,0,0,0,0,0,0,0,17,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Comoros,0,3,113,0,0,0,0,3,0,0,13,31,177,0,0,0,60,0,8,0,0,0,8,0,0,37,0,11,24,0,0,0,21,15,0,37,0,0,5,0,0,0,0,0,0,0,0,9,1809,0,0,0,12,121,0,0,11,0,25,649,0,0,0,0,5463,0,0,0,0,0,4,0,0,0,0,0,0,0,323,0,0,0,0,0,0,2,0,0,0,1612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,0,48,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,0,0,0,0,0,8,10,0,5,0,0,0,0,0,2,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2810,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,449,0,0,0,0,0,0
Niger,0,0,105,0,764,414,0,523,0,0,3,25,372,0,0,7,565,0,1,0,0,792,142,0,1559,179,0,203,270,0,137,0,58,0,0,568,0,54,24,0,273,0,0,21,0,0,0,640,2390,0,7,0,0,190,0,0,237,0,0,0,0,6,0,0,0,1291,29,6315,0,0,158,0,0,0,0,0,0,3,93,0,57,1,160,25,0,2,0,0,0,8,2037,0,0,3,0,0,0,7,0,0,0,0,0,0,18,0,0,0,0,0,0,0,40,0,2,0,0,0,0,0,0,0,3,9,41,5,26,112,0,12,0,5,0,39,1488,0,0,0,0,0,0,0,8,0,0,0,0,22,56,0,7,0,0,0,0,0,981,0,3,0,6,0,0,0,0,0,12,1,354,0,0,0,0,0,0,0,20,766,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,43,0,268,0,11,0,25,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gabon,0,10,47,0,106,385,11,104,0,0,4,1286,332,0,41,47,1215,0,143,0,0,484,120,0,594,145,0,16,492,4,195,0,61,0,0,272,7,6,0,0,26,17,0,0,0,0,0,844,4143,11,11,0,0,742,0,0,202,0,5,0,0,6,0,0,0,29,13382,0,0,3,205,0,2,0,0,0,0,103,42,0,1047,0,15,13,0,86,0,0,0,12,97,29,14,16,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,3,750,0,0,0,0,0,0,0,0,0,5,9,232,0,27,6409,0,0,0,0,0,12,331,21,0,8,0,0,9,0,0,0,0,0,967,0,454,0,0,3,0,0,35,0,681,36,6,9,0,0,0,0,12,8,28,0,3776,0,0,0,0,3,0,30,0,365,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,6,68,0,0,0,0,0,0,0,0,0,1571,0,4,0,55,0,0,0,0,0,0,0,481,0,0,0,0,0,0,0,0,0,0
Libya,0,0,11730,0,60,59,0,17,0,0,0,0,59,0,45,0,0,0,0,0,0,0,23,108,4,0,0,28846,0,0,0,0,4,0,0,15160,0,3515,1853,1,0,25,0,0,0,22,0,29,95,0,0,0,0,68,0,0,5,0,15,0,0,0,0,0,0,6182,0,3631,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,7,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,85,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,34157,0,0,2,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,35,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Zealand,4261,306124,129,7,6,42753,2263,7932,0,3,3529,4236,2367,0,10538,931,43443,10248,7656,0,0,29,1460,85,8,83,397,203,29395,887,109,208,4113,1322,6,245,28,42,18,6,0,0,1270,889,93,0,199,63,5059,2529,15229,0,143,16757,2,10,1966,0,103,4,0,0,0,10120,0,0,0,0,878673,38,10000,20,246,167,0,0,20,4148,87,2059,4,3,1030,609,0,4595,58,17,19384,59,13,238,0,0,1,0,71,338,187,6,15,2884,30,25,167,0,0,4,5,33,56,10,22,12,836,11,20,6,55,0,211,0,54,360,25,69,6722,0,0,83,16,3,3,0,0,2337,5,3160,3278,0,85,0,0,4,0,1745,0,8,25,2,176,4,0,0,43,53,4,477,0,143,0,0,0,0,71,10800,135,5760,0,0,0,41,0,86,0,61,364,4,0,0,3,0,62,0,900,5394,0,0,0,0,0,0,0,0,6,0,26,11956,20,0,0,0,891,1,0,99,2,0,35,35,0,14296,0,0,37,3,0,206,29,0,12,0,0,32,0,0,0,3,0,0
Cyprus,0,606,1317,1,276,1399,59,11098,0,0,658,456,1987,0,113,15104,1108,0,816,0,0,225,1423,914,19,40,0,1129,45680,20,34,13,2558,932,0,147418,9,2643,109,0,0,0,21,726,0,98,0,155,2341,995,184,0,56425,1268,0,0,3698,0,116,12,0,3,3,0,0,0,2,56,32,0,191,521,0,0,0,0,2,2359,38,4,0,0,2469,4460,0,201,0,0,2,38,0,6756,3,98,0,0,0,436,0,0,0,0,43,5,337,0,0,0,3,204,8,196,50,2,7,2,26,0,0,9,455,0,1649,19653,8476,10,525,24,0,505,52,4,0,0,0,781,0,411,0,106,4633,0,0,659,0,958,0,10,3,1389,3814,1546,0,0,163,0,3,6536,0,216,1411,0,1,0,1405,57,8554,14,0,0,0,0,0,18,0,840,592,42,0,170,35,0,26,0,133,0,0,119,2,255,0,0,0,0,0,0,2617,85,2331,76,0,0,0,0,0,414,0,0,42,164,0,188,0,0,25,0,0,0,1408,0,1,0,0,0,0,0,0,0,0,0
